ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),Description,Number,Street,City,County,State,Zipcode,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Astronomical_Twilight
A-512320,3,3/3/2019 20:42,3/3/2019 21:10,40.707054,-74.150024,0,Left lane blocked due to accident on I-78 New Jersey Turnpike - Hudson County Extension at I-95.,,New Jersey Tpke N,Newark,Essex,NJ,7114,3/3/2019 20:51,32,27.5,96,29.95,0.5,NNE,4.6,0.09,Night
A-512321,3,3/3/2019 20:44,3/3/2019 21:13,39.897015,-74.991699,0,Lane blocked due to accident on I-295 Southbound at Exits 34A 34B NJ-70 Marlton Pike.,,I-295 S,Cherry Hill,Camden,NJ,8034,3/3/2019 20:38,33.1,26.1,92,29.91,2.5,NNE,8.1,0.04,Night
A-512322,3,3/3/2019 20:51,3/3/2019 21:20,40.646839,-74.828308,0,Left lane blocked due to accident on I-78 Eastbound at Exits 20A 20B CR-639 Cokesbury Rd.,,I-78 E,Lebanon,Hunterdon,NJ,8833,3/3/2019 20:53,33.1,,96,29.94,0.5,Calm,,0.1,Night
A-512324,3,3/3/2019 21:21,3/3/2019 21:50,40.635178,-74.973541,0,Lane blocked due to accident on I-78 Eastbound at Exit 12 NJ-173.,,I-78 E,Hampton,Hunterdon,NJ,8827,3/3/2019 21:35,33.1,30,96,29.89,0.8,NNE,3.5,0.06,Night
A-512327,3,3/3/2019 22:16,3/3/2019 22:45,40.744354,-74.121796,0,Left lane blocked due to accident on I-95 New Jersey Turnpike - Western Spur Southbound at Exit 15W I-280.,,New Jersey Tpke S,Kearny,Hudson,NJ,7032,3/3/2019 22:25,33.1,26.1,96,29.88,0.8,NNE,8.1,0.04,Night
A-512328,3,3/3/2019 22:23,3/3/2019 22:52,40.264053,-74.511414,0,Center lane blocked due to accident on I-95 New Jersey Turnpike Southbound at Exit 8 NJ-133.,,New Jersey Tpke S,Hightstown,Mercer,NJ,8520,3/3/2019 22:24,35.1,30.1,89,29.84,3,NNE,5.8,0,Night
A-512330,3,3/3/2019 22:49,3/3/2019 23:18,40.633705,-74.940399,0,Left lane blocked due to accident on I-78 Eastbound at Exit 13 Bank St.,,I-78 W,Clinton,Hunterdon,NJ,8809,3/3/2019 22:51,33.8,30.8,93,29.83,0.8,North,3.5,0.08,Night
A-512331,2,3/3/2019 22:57,3/3/2019 23:26,39.767277,-75.04715,0,Left lane blocked due to accident on Atlantic City Expy Westbound at Exit 44 NJ-42 Atlantic City Expy.,,Atlantic City Expy W,Blackwood,Gloucester,NJ,8012,3/3/2019 22:54,34,27.2,92,29.81,5,NNE,8.1,0.15,Night
A-512332,2,3/3/2019 23:44,3/4/2019 0:14,40.806629,-74.444984,0,Left lane closed due to accident on NJ-24 Eastbound at Exits 1A 1B I-287.,,NJ-24 W,Morristown,Morris,NJ,7960,3/3/2019 23:35,32,,100,29.82,0.5,Calm,,0.04,Night
A-512334,2,3/4/2019 0:19,3/4/2019 0:49,40.434399,-74.251755,0,Right hand shoulder blocked due to accident on Garden State Pkwy Northbound at Exit 120 CR-626 Laurence Harbor Rd.,,Garden State Pkwy S,Matawan,Middlesex,NJ,7747,3/4/2019 0:15,32.2,,99,29.8,1.2,Calm,,0.03,Night
A-513041,3,3/4/2019 1:41,3/4/2019 2:10,40.2859,-74.732422,0,Left lane blocked due to accident on I-295 Northbound at Exits 69A 69B US-206 Lawrenceville Rd.,,Lawrenceville Rd,Lawrence Township,Mercer,NJ,8648,3/4/2019 1:53,35.1,27.9,89,29.68,2.5,North,9.2,0.01,Night
A-513043,3,3/4/2019 2:02,3/4/2019 2:32,40.185532,-74.569626,0,Left lane closed due to accident on I-195 Eastbound at Exit 8 CR-524 Old York Rd.,,I-195 E,Allentown,Monmouth,NJ,8501,3/4/2019 1:56,33.1,24.9,99,29.65,10,North,10.4,0.04,Night
A-513045,3,3/4/2019 2:17,3/4/2019 2:46,40.526573,-74.336113,0,Two lanes blocked due to accident on I-95 New Jersey Turnpike Northbound at Exit 10 I-287.,,I-287 S,Edison,Middlesex,NJ,8837,3/4/2019 2:15,32.4,29.1,99,29.7,3,NE,3.5,0.01,Night
A-513046,3,3/4/2019 2:41,3/4/2019 3:10,40.34877,-74.476646,0,Right lane blocked due to accident on I-95 New Jersey Turnpike Northbound at Exit 8A NJ-32 Forsgate Dr.,,New Jersey Tpke S,Monroe Township,Middlesex,NJ,8831,3/4/2019 2:53,35.1,26.9,89,29.65,4,NNW,11.5,0.02,Night
A-513048,2,3/4/2019 2:53,3/4/2019 3:23,40.732845,-74.353195,0,Left lane closed due to accident on NJ-24 Eastbound at CR-657 Summit Ave.,,NJ-24 E,Summit,Union,NJ,7901,3/4/2019 2:55,32,,100,29.68,10,Calm,,,Night
A-513049,3,3/4/2019 3:09,3/4/2019 3:38,40.319389,-74.486977,0,Left lane blocked due to accident on I-95 New Jersey Turnpike Northbound at Molly Pitcher Service Area.,,New Jersey Tpke N,Cranbury,Middlesex,NJ,8512,3/4/2019 3:08,35.1,27.9,89,29.66,2.5,North,9.2,0,Night
A-513050,2,3/4/2019 3:18,3/4/2019 3:46,40.778999,-74.047211,0.389999986,Entry ramp to NJ-495 from NJ-3 Eastbound closed due to accident.,,NJ-3 E,North Bergen,Hudson,NJ,7047,3/4/2019 3:20,33.1,,92,29.67,2.5,North,,0.01,Night
A-513051,2,3/4/2019 4:10,3/4/2019 4:39,40.975773,-74.069557,0,Right lane blocked and right hand shoulder blocked due to accident on Garden State Pkwy Northbound before Exit 166 CR-110 Linwood Ave.,857,Wendy Ann Ct,Paramus,Bergen,NJ,07652-3826,3/4/2019 4:15,34,27.2,92,29.66,4,North,8.1,0,Night
A-513052,2,3/4/2019 4:11,3/4/2019 4:40,40.390881,-74.178749,0,Right lane blocked due to accident on Garden State Pkwy local lanes Northbound at Exit 116 Pnc Bank Arts Ctr.,,Garden State Art Ctr,Holmdel,Monmouth,NJ,7733,3/4/2019 3:56,33.1,24.9,96,29.66,10,North,10.4,0.01,Night
A-513055,2,3/4/2019 4:43,3/4/2019 5:12,40.73138,-74.222092,0,Right hand shoulder blocked due to accident on Garden State Pkwy Southbound after Exit 143 Western Pkwy.,,Garden State Pkwy S,Irvington,Essex,NJ,7111,3/4/2019 4:51,34,25.5,89,29.68,9,NNW,11.5,0,Night
A-513059,3,3/4/2019 5:01,3/4/2019 5:31,40.526573,-74.336113,0,Right lane blocked due to accident on New Jersey Turnpike Southbound after Exit 10 I-287.,,I-287 S,Edison,Middlesex,NJ,8837,3/4/2019 4:55,32.9,,98,29.68,10,Calm,,,Day
A-513060,3,3/4/2019 5:01,3/4/2019 5:31,40.474957,-74.407219,0,Left lane blocked due to accident on New Jersey Turnpike Northbound before Exit 9 NJ-18.,,New Jersey Tpke N,East Brunswick,Middlesex,NJ,8816,3/4/2019 4:55,32.9,,98,29.68,10,Calm,,,Day
A-513061,2,3/4/2019 5:04,3/4/2019 5:34,40.844311,-74.180206,0,Accident on Garden State Pkwy Southbound after Exit 153 / NJ-3.,,Garden State Pkwy S,Bloomfield,Essex,NJ,7003,3/4/2019 4:51,34,28.8,92,29.68,8,North,5.8,0,Day
A-513074,3,3/4/2019 6:43,3/4/2019 7:12,40.283169,-74.696579,0,Acceleration lane closed due to accident on I-295 Southbound after Exits 67 67A-B US-1 Brunswick Pike.,,US Highway 1,Lawrence Township,Mercer,NJ,8648,3/4/2019 6:53,36,31.1,86,29.73,9,NW,5.8,,Day
A-513076,2,3/4/2019 6:52,3/4/2019 7:22,40.759171,-75.131828,0,Accident on CR-519 Philipsburg Belvidere Rd at Dutt Ln.,3012,Belvidere Rd,Phillipsburg,Warren,NJ,08865-9581,3/4/2019 6:51,33.1,25.5,72,29.78,10,NNW,9.2,,Day
A-513078,2,3/4/2019 6:59,3/4/2019 7:28,40.80949,-74.181053,0,Left lane closed due to accident on Garden State Pkwy Northbound before Exit 150 CR-651 Hoover Ave.,,Garden State Pkwy N,Bloomfield,Essex,NJ,7003,3/4/2019 6:51,34,27.2,89,29.7,10,NNW,8.1,,Day
A-513087,2,3/4/2019 7:31,3/4/2019 8:46,39.652611,-74.796478,0,Accident on US-30 White Horse Pike at CR-678 Fairview Ave.,220,N White Horse Pike,Hammonton,Atlantic,NJ,8037,3/4/2019 7:27,35.1,25.5,96,29.76,10,NW,15,,Day
A-513093,3,3/4/2019 7:51,3/4/2019 8:20,40.707394,-74.247543,0,Left lane closed due to serious accident on I-78 Express Lanes Westbound before Garden State Pkwy.,443,Union Ave,Union,Union,NJ,07083-4770,3/4/2019 7:51,35.1,27.9,85,29.74,10,NW,9.2,,Day
A-513105,3,3/4/2019 8:49,3/4/2019 9:46,39.873787,-75.01796,0,2 left lane blocked due to accident on I-295 Southbound at Exit 31 CR-667 Oak Ave.,,I-295 N,Haddonfield,Camden,NJ,8033,3/4/2019 8:54,35.1,25.9,78,29.82,10,NW,13.8,,Day
A-513106,2,3/4/2019 8:48,3/4/2019 9:17,40.902573,-74.959679,0,Accident on CR-611 Great Meadows-Hope Rd both ways at Land of Make Believe.,390,Great Meadows Rd,Great Meadows,Warren,NJ,07838-2409,3/4/2019 8:54,30,21.1,69,29.83,,North,10.4,,Day
A-513108,2,3/4/2019 8:55,3/4/2019 9:25,39.875427,-75.048317,0,Right hand shoulder closed due to accident on I-295 Southbound before Exits 29 29A 29B US-30 White Horse Pike.,24,White Horse Pike,Barrington,Camden,NJ,08007-1312,3/4/2019 8:54,36,26.3,73,29.84,10,NNW,16.1,,Day
A-513112,2,3/4/2019 9:29,3/4/2019 9:59,40.8125,-74.447617,0.029999999,Exit ramp from NJ-24 Westbound at Exits 1A 1B to I-287 Southbound lane blocked due to accident.,,I-287 S,Cedar Knolls,Morris,NJ,7927,3/4/2019 9:50,33.8,25.8,75,29.8,10,NW,10.4,,Day
A-513113,2,3/4/2019 9:34,3/4/2019 10:03,39.890701,-75.089767,0,Accident on NJ-168 Black Horse Pike at Main St.,893,Black Horse Pike,Audubon,Camden,NJ,8106,3/4/2019 9:54,36,25.6,67,29.86,10,NNW,18.4,,Day
A-513115,2,3/4/2019 9:39,3/4/2019 10:09,40.207382,-74.694572,0,Accident on CR-533 Whitehorse Mercerville Rd at CR-619 Kuser Rd.,,Kuser Rd,Trenton,Mercer,NJ,8690,3/4/2019 9:53,37.9,28.9,62,29.81,10,NNW,16.1,,Day
A-513117,2,3/4/2019 9:43,3/4/2019 10:13,40.74511,-74.532898,0,Accident on US-202 Mt Kemble Ave at Baileys Mill Rd.,962,Mount Kemble Ave,Morristown,Morris,NJ,07960-6625,3/4/2019 9:50,33.8,25.8,75,29.8,10,NW,10.4,,Day
A-513119,2,3/4/2019 9:49,3/4/2019 10:19,40.165722,-74.54129,0,Accident on Sharon Station Rd at Dutchess Dr.,,Sharon Station Rd,Allentown,Monmouth,NJ,8501,3/4/2019 9:46,35.6,25.2,100,29.78,10,WNW,18.4,,Day
A-513120,2,3/4/2019 9:46,3/4/2019 10:16,40.766499,-74.992088,0,Accident on Westgate Apartments at CR-628 Kinnaman Ave.,34,Kinnaman Ave,Washington,Warren,NJ,07882-4137,3/4/2019 9:53,35.1,27.9,70,29.81,10,NNW,9.2,,Day
A-513128,2,3/4/2019 10:58,3/4/2019 11:28,40.796017,-74.141479,0,Right lane blocked due to accident on NJ-21 Northbound before Exit 7 Main St.,,NJ-21 S,Belleville,Essex,NJ,7109,3/4/2019 10:51,35.1,25.2,67,29.79,10,NW,16.1,,Day
A-513129,2,3/4/2019 11:07,3/4/2019 11:36,40.894085,-74.131683,0,Left lane blocked due to accident on NJ-20 Mclean Blvd Southbound at US-46.,,NJ-20 N,Paterson,Passaic,NJ,7503,3/4/2019 10:51,35.1,25.2,67,29.79,10,NW,16.1,,Day
A-513130,2,3/4/2019 11:07,3/4/2019 11:37,40.96125,-74.145958,0,Accident on NJ-208 Northbound at Utter Ave.,,State Rt 208,Hawthorne,Passaic,NJ,7506,3/4/2019 10:53,34,25,64,29.83,10,NW,12.7,,Day
A-513136,4,3/4/2019 11:58,3/4/2019 12:27,40.281902,-74.503845,4.849999905,Main roadway closed due to accident on New Jersey Turnpike outer roadway Southbound from Cranbury Half Acre Rd to NJ-133.,,New Jersey Tpke S,Cranbury,Middlesex,NJ,8512,3/4/2019 11:53,37.9,30.5,57,29.83,10,NW,11.5,,Day
A-513141,2,3/4/2019 13:36,3/4/2019 14:01,40.756371,-74.209747,0,Right lane blocked due to accident on Garden State Pkwy Northbound at Exit 145 I-280.,,Garden State Pkwy N,East Orange,Essex,NJ,7018,3/4/2019 13:51,37.9,28.5,51,29.8,10,West,17.3,,Day
A-513150,3,3/4/2019 16:49,3/4/2019 17:18,40.857117,-73.973183,0,Left lane blocked due to accident on George Washington Brg Northbound at Exits 72 72A 72B 73 73-74 I-95 Hov Ln.,,US-1 S,Fort Lee,Bergen,NJ,7024,3/4/2019 16:51,37,28.9,46,29.83,10,NW,12.7,,Day
A-513152,2,3/4/2019 17:10,3/4/2019 17:39,39.660069,-75.092323,0,Accident and traffic signal failure on NJ-47 Delsea Dr Northbound at CR-610 Academy St.,401,N Delsea Dr,Clayton,Gloucester,NJ,08312-1215,3/4/2019 16:54,36,26.3,44,29.92,10,West,16.1,,Day
A-513160,2,3/4/2019 20:44,3/4/2019 21:43,39.769848,-75.048523,9.180000305,Right lane blocked due to accident on Atlantic City Expy Eastbound between Exit 38 CR-536-SPUR Williamstown Rd and Exit 44 NJ-42 Atlantic City Expy.,,Atlantic City Expy W,Blackwood,Gloucester,NJ,8012,3/4/2019 20:54,32,22.1,38,30.03,10,WNW,13.8,,Night
A-513164,3,3/4/2019 21:27,3/4/2019 21:56,40.90863,-74.17482,0,Accident on NJ-19 Westbound at I-80.,,Bergen Passaic Expy W,Paterson,Passaic,NJ,7501,3/4/2019 21:53,28.9,25.2,54,30.01,10,Variable,3.5,,Night
A-513166,2,3/4/2019 23:53,3/5/2019 0:16,40.722805,-74.230621,0,Accident on Garden State Pkwy Northbound at Exit 143 Cleremont Ave.,,Garden State Pkwy N,Irvington,Essex,NJ,7111,3/4/2019 23:51,28.9,18.6,47,30.02,10,West,12.7,,Night
A-515276,2,3/5/2019 4:24,3/5/2019 4:53,40.589008,-74.326187,0,Left lane blocked and left hand shoulder blocked due to accident on Garden State Pkwy Southbound before Colonia Service Area.,,Garden State Pkwy S,Colonia,Middlesex,NJ,7067,3/5/2019 4:15,21.7,,58,30.1,10,Calm,,,Night
A-515278,2,3/5/2019 4:34,3/5/2019 5:03,40.593491,-74.322517,0,Left lane blocked and shoulder blocked due to accident on Garden State Pkwy Southbound at Colonia Service Area (Woodbridge Twp).,,Parkway Ser Area N,Colonia,Middlesex,NJ,7067,3/5/2019 4:35,21.2,,61,30.1,10,Calm,,,Night
A-515292,2,3/5/2019 6:32,3/5/2019 7:01,40.57933,-74.331276,0,Accident on Garden State Pkwy Southbound at NJ-27 Lincoln Hwy.,23,Garden State Pkwy S,Colonia,Middlesex,NJ,7067,3/5/2019 6:35,20.1,,66,30.12,10,Calm,,,Day
A-515293,3,3/5/2019 6:30,3/5/2019 7:00,40.910725,-74.548637,0,Right lane blocked due to accident on I-80 Westbound before Exits 35 35A 35B CR-661 Mt Hope Ave.,,I-80 W,Dover,Morris,NJ,7801,3/5/2019 6:35,14,,86,30.1,10,Calm,,,Day
A-515299,2,3/5/2019 7:05,3/5/2019 7:35,40.650795,-74.754761,0,Accident on I-78 Westbound after Exit 24 CR-523 Oldwick Rd.,,I-78 W,Lebanon,Hunterdon,NJ,8833,3/5/2019 6:53,12.9,,88,30.11,10,North,,,Day
A-515305,2,3/5/2019 7:28,3/5/2019 7:57,40.798939,-74.125679,0,Two lanes blocked due to accident on NJ-17 Ridge Rd Northbound at Union Ave.,33,Union Ave,North Arlington,Bergen,NJ,07031-4801,3/5/2019 7:51,23,,50,30.11,10,Calm,,,Day
A-515306,2,3/5/2019 7:29,3/5/2019 7:59,40.518951,-74.30188,0,Accident on NJ-440 at Garden State Pkwy.,,NJ-440 N,Keasbey,Middlesex,NJ,8832,3/5/2019 7:35,21.9,,56,30.12,10,Calm,,,Day
A-515314,2,3/5/2019 7:38,3/5/2019 8:06,40.696411,-74.154678,0,Left lane blocked due to accident on Port Newark Elizabeth Marine Terminal Marsh St Westbound before Corbin St.,,Marsh St,Newark,Essex,NJ,7114,3/5/2019 7:51,23,15.8,48,30.12,10,WSW,5.8,,Day
A-515316,3,3/5/2019 7:44,3/5/2019 8:13,40.892097,-74.415123,0,Right lane closed due to accident on I-287 Southbound at Exit 43 US-202 Intervale Rd.,,I-287 N,Boonton,Morris,NJ,7005,3/5/2019 7:45,19.4,,74,30.11,10,Calm,,,Day
A-515319,2,3/5/2019 7:50,3/5/2019 8:19,40.626896,-74.304581,0,Accident on Garden State Pkwy Northbound after Exit 135 CR-613 Brant Ave.,,Garden State Pkwy S,Clark,Union,NJ,7066,3/5/2019 7:55,22.8,,52,30.12,10,Calm,,,Day
A-515322,3,3/5/2019 7:57,3/5/2019 8:26,40.6936,-74.112511,0,Left lane blocked due to accident on New Jersey Turnpike - Hudson County Extension Westbound after Exit 14A Port Jersey Blvd.,,Casciano Memorial Bridge,Bayonne,Hudson,NJ,7002,3/5/2019 7:51,23,15.8,48,30.12,10,WSW,5.8,,Day
A-515329,3,3/5/2019 8:12,3/5/2019 8:41,39.875427,-75.048317,0,Left lane closed due to accident on I-295 Northbound at Exits 29 29A 29B US-30 White Horse Pike.,24,White Horse Pike,Barrington,Camden,NJ,08007-1312,3/5/2019 7:54,24.1,17,46,30.14,10,NW,5.8,,Day
A-515331,2,3/5/2019 8:14,3/5/2019 8:43,40.497841,-74.659119,0,Serious accident on CR-514 Amwell Rd at Rine Rd.,98,Rine Rd,Hillsborough,Somerset,NJ,08844-3436,3/5/2019 7:53,18,,78,30.12,10,Calm,,,Day
A-515332,3,3/5/2019 8:19,3/5/2019 8:48,39.874699,-75.047783,0,Left lane blocked due to accident on I-295 Northbound at US-30 White Horse Pike.,88,White Horse Pike,Barrington,Camden,NJ,08007-1312,3/5/2019 7:54,24.1,17,46,30.14,10,NW,5.8,,Day
A-515336,2,3/5/2019 8:25,3/5/2019 8:55,40.421593,-74.52845,0,Left lane closed due to accident on US-1 Northbound at CR-610 Deans Ln.,3802,US Highway 1,Monmouth Junction,Middlesex,NJ,08852-2253,3/5/2019 8:53,21.9,14.5,51,30.1,10,West,5.8,,Day
A-515337,3,3/5/2019 8:26,3/5/2019 8:55,40.54052,-74.29538,0.07,Entry ramp to New Jersey Turnpike Northbound at Exit 129 from Garden State Pkwy Northbound lane blocked due to accident.,,US Highway 9 S,Woodbridge,Middlesex,NJ,7095,3/5/2019 8:35,24.1,,45,30.12,10,Calm,,,Day
A-515344,3,3/5/2019 8:51,3/5/2019 9:20,40.202297,-74.634872,0,Accident on I-195 Westbound at Exits 5A 5B US-130. On the median.,,I-195 W,Trenton,Mercer,NJ,8691,3/5/2019 8:53,21.9,14.5,51,30.1,10,West,5.8,,Day
A-515346,3,3/5/2019 8:49,3/5/2019 9:18,40.540993,-74.308578,0,One lane blocked due to accident on New Jersey Tpke Northbound near Garden State Pkwy.,,New Jersey Tpke N,Woodbridge,Middlesex,NJ,7095,3/5/2019 8:55,24.6,,44,30.12,10,Calm,,,Day
A-515352,2,3/5/2019 9:03,3/5/2019 9:33,40.64703,-74.130539,0,Accident on Avenue C at 2nd St.,32,Avenue C,Bayonne,Hudson,NJ,07002-3416,3/5/2019 8:51,25,15.5,43,30.11,10,WSW,9.2,,Day
A-515355,2,3/5/2019 9:16,3/5/2019 9:46,40.474625,-74.427483,0,Left and center lane blocked due to accident on US-1 Northbound near CR-617 Ryders Ln.,,Ryders Ln,New Brunswick,Middlesex,NJ,8901,3/5/2019 9:15,24.8,,44,30.11,10,Calm,,,Day
A-515357,2,3/5/2019 9:16,3/5/2019 9:46,40.852009,-74.175072,0,Left lane blocked due to accident on NJ-3 Westbound at Garden State Pkwy.,,State Route 3,Clifton,Passaic,NJ,7012,3/5/2019 8:51,24.1,17,46,30.1,10,WNW,5.8,,Day
A-515360,3,3/5/2019 9:23,3/5/2019 9:52,40.85363,-73.962395,0.850000024,2 left lane blocked due to accident on I-95 eorge Washington Bridge Southbound from New Jersey Side Upper Level to Palisades Interstate Parkway.,,I-95 N,Fort Lee,Bergen,NJ,7024,3/5/2019 9:51,26.1,17.6,44,30.08,10,West,8.1,,Day
A-515365,2,3/5/2019 9:41,3/5/2019 10:11,40.84647,-74.82402,0,Accident on NJ-182 Mountain Ave near Water St.,139,Mountain Ave,Hackettstown,Warren,NJ,07840-2337,3/5/2019 9:54,19.9,12.1,50,30.08,,SW,5.8,,Day
A-515371,2,3/5/2019 10:45,3/5/2019 11:15,40.841236,-75.048492,0,Accident on US-46 near Schmidt Ln.,,US Highway 46,Belvidere,Warren,NJ,7823,3/5/2019 10:54,21.9,13.4,51,30.06,,Variable,6.9,,Day
